,mass,method,semimajoraxis
354,17.193,RV,2.8373
355,0.23,RV,0.065
356,6.1,RV,1.3
357,2.94,RV,0.82
358,4.04,RV,3.6
359,0.67,RV,2.24
360,4.6,RV,1.29
361,1.98,RV,1.32
362,2.6,RV,2.54
363,3.191,transit,0.1623
364,2.7,RV,1.16
365,7.8,RV,2.4
366,0.61,RV,1.03
367,1.5,RV,1.76
368,1.49,RV,1.2218
369,0.15,RV,0.5137
370,6.292,RV,0.32
371,0.08,RV,0.11
372,0.95,RV,0.045
373,22.0,RV,1.4
374,1.6,RV,1.39
375,3.3,RV,1.78
376,0.0238,RV,0.08
377,0.64,RV,1.76
378,0.54,RV,3.0
379,0.37,RV,1.78
380,3.67,RV,1.51
381,3.82,RV,4.25
382,0.94,RV,0.077
383,0.75,RV,2.05
384,0.52,RV,0.0426
385,1.99,RV,4.89
386,2.7,RV,1.92
387,1.26,RV,1.19
388,0.0316,RV,0.1099
389,1.138,transit,0.03142
390,1.9,RV,2.07
391,3.1,RV,5.5
392,0.733,RV,0.15312
393,2.5,RV,1.16
394,3.7,RV,0.1388
395,2.83,RV,2.47
396,6.9,RV,5.02
397,2.98,RV,2.6
398,0.79,RV,2.07
399,1.68,RV,1.42
400,0.0378,RV,0.0974
401,0.0422,RV,0.1961
402,1.85,RV,1.601
403,0.9,RV,1.95
404,17.4,RV,0.83
405,2.44,RV,2.55
406,1.07,RV,1.25
407,4.9,RV,2.2
408,3.55,RV,3.04
409,0.054,RV,0.2103
410,1.68,RV,3.93
411,0.266,RV,2.56
412,1.37,RV,0.896
413,2.2,RV,1.68
414,1.9,RV,1.381
415,0.0379,RV,0.169
416,0.0496,RV,0.3456
417,0.56,RV,0.57
418,0.73,RV,2.112
419,0.0084933,RV,0.1207
420,0.00754968,RV,0.2036
421,0.015099,RV,0.3499
422,0.413,RV,0.51
423,9.9,RV,2.1
424,1.99,RV,0.947
425,0.714,transit,0.04747
426,1.23,RV,1.1
427,2.0,RV,1.17
428,0.45,RV,0.036
429,2.3,RV,1.22
430,4.5,RV,2.03
431,0.0087,RV,0.0652
432,0.0097,RV,0.0852
433,0.101,RV,0.652
434,0.246,RV,3.394
435,0.02,RV,0.047
436,0.33,RV,1.282
437,1.26,RV,2.56
438,1.82,RV,2.32
439,0.65,RV,0.46
440,0.0322,RV,0.1484
441,0.06472,RV,0.2644
442,1.33,RV,0.073
443,2.49,RV,5.27
444,13.0,RV,2.38
445,0.21,RV,0.6873
446,10.39,RV,6.22
447,1.0,RV,3.2
448,0.066,RV,0.052
449,11.1,RV,1.6
450,1.06,RV,3.36
451,1.45,RV,4.94
452,3.09,RV,1.25
453,1.9,RV,5.1
454,7.75,RV,1.35
455,0.71,RV,0.233
456,13.65,RV,1.167
457,2.5,RV,1.5
458,1.5,RV,2.4
459,1.08,RV,0.53
460,6.575,RV,0.747
461,8.1,RV,2.88
462,6.9,RV,1.33
463,5.3,RV,1.9
464,4.01,RV,4.92
465,0.95,RV,3.02
466,0.48,RV,0.044
467,1.35,RV,1.16
468,1.45,RV,3.25
469,0.62,RV,0.122
470,5.7,RV,1.03
471,1.16,RV,2.15
472,1.7,RV,1.24
473,2.54,RV,3.43
474,1.6,RV,1.2
475,7.7,RV,2.6
476,1.373,RV,2.315
477,0.47,RV,2.69
478,1.8,RV,2.0
479,0.5,RV,1.26
480,0.0363,RV,0.1253
481,0.0498,RV,0.2665
482,0.0519,RV,0.8181
483,3.04,RV,0.59
484,0.62,RV,0.039
485,1.3,RV,1.06
486,0.33,RV,0.168
487,9.1,RV,1.1
488,0.79,RV,2.07
489,0.2,RV,0.284
490,0.675,RV,0.53364
491,0.652,RV,1.71
492,0.696,RV,2.807
493,2.813,RV,0.2837
494,3.379,RV,3.821
495,0.34,RV,1.02
496,0.78,RV,0.131
497,17.7,RV,3.695
498,10.7,RV,1.7
499,0.0961,RV,1.0376
500,10.3,RV,3.28
501,0.0117,RV,0.0519
502,0.0187,RV,0.0954
503,0.0162,RV,0.172
504,0.01258,RV,0.0468
505,0.020761624,RV,0.0799
506,0.029884156,RV,0.1321
507,0.0110099,RV,0.1886
508,0.01635764,RV,0.247
509,0.02233447,RV,0.6
510,3.28,RV,0.83
511,2.54,RV,1.7
512,1.56,RV,1.28
513,0.03869211,RV,0.137
514,0.02705302,RV,0.172
515,1.82,RV,1.1735
516,2.17,RV,6.95
517,0.8,RV,1.7
518,0.0405,RV,0.118
519,2.3,RV,1.19
520,0.6,RV,0.92
521,2.49,RV,0.24
522,0.58,RV,1.19
523,0.04,RV,0.0638
524,1.79,RV,1.92
525,0.1872,RV,0.6813
526,0.6579,RV,0.8972
527,0.47,RV,0.23
528,0.249,RV,0.041
529,0.07167,RV,0.05
530,0.35061,RV,2.395
531,2.37,RV,1.19
532,2.37,RV,4.6
533,5.0,RV,1.61
534,1.16,RV,1.51
535,0.115,RV,0.058
536,1.71,RV,3.86
537,5.16,RV,2.41
538,0.0413,RV,0.1059
539,0.0565,RV,0.3791
540,1.05,RV,0.5
541,1.76,RV,1.6697
542,1.15,RV,2.071
543,3.0,RV,1.9
544,0.33,RV,1.2
545,7.6,RV,0.76
546,5.25,RV,0.911
547,3.15,RV,0.77
548,7.46,RV,1.58
549,2.9,RV,1.69
550,0.38,RV,0.036
551,0.64,RV,0.949
552,0.39,RV,0.14
553,1.21,RV,1.37
554,6.0,RV,1.2
555,2.82,RV,3.18
556,1.56,RV,3.56
557,1.9,RV,0.071
558,0.033,RV,0.0785
559,0.038,RV,0.186
560,0.058,RV,0.63
561,6.1,RV,1.76
562,2.0,RV,3.3
563,0.29,RV,1.36
564,3.15,RV,4.74
565,1.87,RV,0.037
566,3.06,RV,2.198
567,2.35,RV,0.65
568,2.19,RV,1.03
569,1.15,RV,3.15
570,1.88,RV,0.294
571,8.03,RV,3.4
572,1.11,RV,2.3
573,2.0,RV,4.96
574,0.42,RV,0.046
575,1.15,RV,1.073
576,2.51,RV,1.19
577,0.197,RV,0.049
578,0.0487583,RV,0.0611
579,0.029,RV,0.057
580,1.34,RV,3.13
581,3.94,RV,0.449
582,6.86,RV,1.94
583,2.7,RV,0.81
584,1.3,RV,1.65
585,1.75,RV,1.1866
586,2.01,RV,0.7423
587,0.4,RV,0.0406
588,0.68,RV,2.45
589,0.132,RV,1.52
590,0.011,RV,0.26
591,2.11,RV,0.77
592,1.5,RV,0.039
593,0.92,RV,2.84
594,7.0,RV,2.86
595,14.2,RV,3.02
596,12.1,RV,3.6
597,0.22,RV,0.047
598,2.0,RV,3.34
599,7.2,RV,0.88
600,0.057,RV,0.25
601,3.86,RV,0.97
602,0.37,RV,0.477
603,0.0263,RV,0.1116
604,0.0318,RV,0.257
605,0.7,RV,0.189
606,1.82,RV,0.654
607,1.2,RV,1.51
608,0.9,RV,0.99
609,4.0,RV,1.4
610,0.68,RV,1.3
611,0.0284,RV,0.0774
612,0.04,RV,0.422
613,0.023754977,transit,0.08
614,1.8,RV,1.23
615,6.8,RV,5.6
616,0.502,RV,1.105
617,1.4,RV,2.14
618,2.93,RV,0.81
619,0.78,RV,0.07
620,0.35,RV,0.13
621,1.25,RV,0.116
622,3.88,RV,0.0692
623,1.28,RV,0.545
624,0.57,RV,1.89
625,1.44,RV,0.89
626,15.04,RV,7.7
627,0.298,RV,0.163506
628,0.036,RV,0.07
629,0.41,RV,0.178
630,0.527,RV,1.01
631,9.18,RV,0.565
632,1.25,RV,0.426
633,6.14,RV,3.62
634,9.0,RV,10.0
635,8.82,RV,1.275
636,2.1,RV,0.36
637,1.068,RV,0.057
638,20.0,RV,2.55
639,2.26,RV,0.925
640,7.0,imaging,68.0
641,10.0,imaging,42.9
642,10.0,imaging,27.0
643,9.0,imaging,14.5
644,5.9,timing,6.18
645,14.3,timing,4.69
646,1.8,RV,2.7
647,0.015099,RV,0.168
648,0.02202,RV,0.311
649,1.486,transit,0.05498
650,1.462,transit,0.04126
651,0.43,transit,0.079
652,0.010475,transit,0.01685
653,0.054106,transit,0.241
654,1.84,transit,0.2804
655,0.094,transit,0.1445
656,0.005977,transit,0.091
657,0.009028,transit,0.107
658,0.022964,transit,0.155
659,0.025166,transit,0.195
660,0.006291,transit,0.25
661,0.431,transit,0.0556
662,6.515,transit,0.038
663,0.66,transit,0.05714
664,0.333,transit,0.7048
665,2.45,transit,0.02591
666,0.0217,transit,0.0447
667,0.054,transit,0.0752
668,0.052,transit,0.1172
669,0.064,transit,0.118
670,0.027,transit,0.04537
671,0.051,transit,0.093
672,0.06,transit,0.3453
673,0.033,transit,0.042507
674,0.023,transit,0.21
675,0.013,transit,0.33
676,0.415,transit,0.51
677,0.0214,transit,0.054
678,0.0223,transit,0.123
679,0.00692,transit,0.082
680,0.0186,transit,0.266
681,0.00714,transit,0.176
682,0.3,transit,0.11
683,0.22,transit,1.0896
684,0.127,transit,0.60347
685,0.01346359,transit,0.1151
